parameter file: TGEN_cleaned6.par
### THE INPUT PARAMETERS
##PARAMETER NAME: VALUE
genotypename: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bed
snpname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.bim
indivname: /projectnb/bs859/students/tshah20/hw_02/TGEN_cleaned6.fam
evecoutname: TGEN_cleaned6_PCA.evec
evaloutname: TGEN_cleaned6_PCA.eval
altnormstyle: NO
numoutevec: 10
numoutlieriter: 0
## smartpca version: 16000
norm used

genetic distance set from physical distance
1038      0.805800   -0.000493   -14.744            1 114695.301
1039      0.804834   -0.000965   -15.229            1 114918.485
1040      0.804622   -0.000213   -14.951            1 115113.538
1041      0.804281   -0.000341   -14.800            1 115322.848
1042      0.804182   -0.000098   -14.397            1 115539.520
1043      0.803705   -0.000478   -14.377            1 115778.327
1044      0.803068   -0.000637   -14.520            1 116017.364
1045      0.802495   -0.000573   -14.601            1 116246.930
1046      0.801917   -0.000578   -14.688            1 116470.527
1047      0.801807   -0.000110   -14.296            1 116687.599
1048      0.801498   -0.000309   -14.101            1 116927.191
1049      0.800843   -0.000655   -14.259            1 117177.721
1050      0.800510   -0.000333   -14.089            1 117417.313
1051      0.800210   -0.000300   -13.881            1 117666.408
1052      0.799605   -0.000606   -13.986            1 117927.664
1053      0.799227   -0.000377   -13.857            1 118181.105
1054      0.798707   -0.000520   -13.874            1 118441.814
1055      0.797949   -0.000758   -14.138            1 118700.320
1056      0.797599   -0.000350   -13.984            1 118940.095
1057      0.796830   -0.000770   -14.264            1 119188.720
1058      0.796308   -0.000522   -14.292            1 119417.040
1059      0.795876   -0.000432   -14.228            1 119641.737
1060      0.795513   -0.000362   -14.090            1 119869.121
1061      0.794951   -0.000563   -14.158            1 120104.330
1062      0.794779   -0.000172   -13.821            1 120333.022
1063      0.794567   -0.000212   -13.519            1 120583.941
1064      0.794003   -0.000564   -13.579            1 120855.182
1065      0.793711   -0.000292   -13.356            1 121120.660
1066      0.793059   -0.000652   -13.504            1 121401.218
1067      0.792604   -0.000454   -13.449            1 121669.243
1068      0.791982   -0.000623   -13.570            1 121939.822
1069      0.791716   -0.000265   -13.319            1 122199.506
1070      0.791351   -0.000366   -13.169            1 122476.873
1071      0.790941   -0.000410   -13.062            1 122764.511
1072      0.789975   -0.000966   -13.536            1 123059.217
1073      0.789559   -0.000415   -13.443            1 123314.105
1074      0.788722   -0.000837   -13.791            1 123574.411
1075      0.788615   -0.000108   -13.382            1 123804.094
1076      0.788252   -0.000363   -13.231            1 124065.172
1077      0.787687   -0.000565   -13.290            1 124336.733
1078      0.787430   -0.000258   -13.028            1 124601.159
1079      0.787235   -0.000195   -12.694            1 124886.034
1080      0.786266   -0.000968   -13.167            1 125198.286
1081      0.785946   -0.000321   -12.969            1 125466.650
1082      0.785654   -0.000292   -12.736            1 125750.376
1083      0.785109   -0.000545   -12.765            1 126053.104
1084      0.784482   -0.000626   -12.882            1 126350.986
1085      0.784265   -0.000217   -12.569            1 126635.754
1086      0.783688   -0.000577   -12.629            1 126947.706
1087      0.783349   -0.000340   -12.440            1 127251.700
1088      0.783019   -0.000330   -12.237            1 127571.767
1089      0.782321   -0.000697   -12.418            1 127909.838
1090      0.782076   -0.000245   -12.125            1 128227.629
1091      0.781576   -0.000501   -12.095            1 128572.967
1092      0.780956   -0.000620   -12.193            1 128919.254
1093      0.780792   -0.000164   -11.809            1 129253.155
1094      0.779851   -0.000941   -12.241            1 129625.639
1095      0.779481   -0.000369   -12.076            1 129949.498
1096      0.779329   -0.000152   -11.677            1 130288.487
1097      0.779078   -0.000251   -11.374            1 130669.256
1098      0.778698   -0.000380   -11.199            1 131082.559
1099      0.777787   -0.000911   -11.588            1 131514.478
1100      0.777256   -0.000531   -11.581            1 131899.324
1101      0.776634   -0.000622   -11.673            1 132282.653
1102      0.776202   -0.000432   -11.564            1 132652.548
1103      0.775555   -0.000647   -11.683            1 133032.961
1104      0.774800   -0.000754   -11.920            1 133395.989
1105      0.774136   -0.000664   -12.068            1 133726.367
1106      0.773936   -0.000200   -11.722            1 134034.413
1107      0.773716   -0.000220   -11.389            1 134382.271
1108      0.773239   -0.000477   -11.323            1 134769.782
1109      0.772715   -0.000524   -11.305            1 135162.841
1110      0.772564   -0.000151   -10.886            1 135554.997
1111      0.772025   -0.000539   -10.874            1 136001.469
1112      0.771269   -0.000756   -11.095            1 136447.154
1113      0.770735   -0.000534   -11.085            1 136858.534
1114      0.770076   -0.000658   -11.209            1 137267.905
1115      0.769743   -0.000333   -10.985            1 137655.552
1116      0.769401   -0.000342   -10.765            1 138072.062
1117      0.768226   -0.001176   -11.440            1 138518.117
1118      0.768176   -0.000049   -10.918            1 138857.474
1119      0.767861   -0.000316   -10.668            1 139272.049
1120      0.767373   -0.000487   -10.597            1 139721.850
1121      0.767037   -0.000336   -10.360            1 140179.242
1122      0.766259   -0.000778   -10.597            1 140671.740
1123      0.766169   -0.000090   -10.093            1 141120.960
1124      0.765616   -0.000553   -10.078            1 141652.015
1125      0.764685   -0.000930   -10.474            1 142182.659
1126      0.764210   -0.000475   -10.386            1 142639.690
1127      0.763534   -0.000677   -10.517            1 143107.432
1128      0.763014   -0.000520   -10.481            1 143546.288
1129      0.762549   -0.000464   -10.384            1 143985.898
1130      0.762413   -0.000136    -9.925            1 144437.787
1131      0.761605   -0.000808   -10.186            1 144972.419
1132      0.761351   -0.000255    -9.851            1 145450.846
1133      0.760804   -0.000547    -9.826            1 145990.647
1134      0.760344   -0.000460    -9.704            1 146530.697
1135      0.759495   -0.000849   -10.006            1 147091.020
1136      0.759322   -0.000172    -9.576            1 147581.844
1137      0.759241   -0.000082    -9.031            1 148159.331
1138      0.758161   -0.001080    -9.565            1 148854.209
1139      0.757845   -0.000316    -9.278            1 149423.531
1140      0.756913   -0.000932    -9.661            1 150053.409
1141      0.756294   -0.000618    -9.712            1 150587.372
1142      0.755954   -0.000340    -9.459            1 151101.377
1143      0.755283   -0.000671    -9.562            1 151668.945
1144      0.754669   -0.000615    -9.607            1 152202.994
1145      0.753934   -0.000735    -9.788            1 152716.620
1146      0.753377   -0.000557    -9.779            1 153173.780
1147      0.753228   -0.000149    -9.318            1 153621.932
1148      0.752916   -0.000312    -9.021            1 154182.379
1149      0.752486   -0.000430    -8.844            1 154815.762
1150      0.751654   -0.000832    -9.105            1 155491.687
1151      0.751520   -0.000134    -8.603            1 156082.891
1152      0.750937   -0.000583    -8.580            1 156814.323
1153      0.750491   -0.000445    -8.403            1 157545.306
1154      0.749678   -0.000813    -8.629            1 158324.425
1155      0.749373   -0.000305    -8.299            1 159022.780
1156      0.748613   -0.000760    -8.463            1 159820.906
1157      0.747995   -0.000618    -8.476            1 160554.845
1158      0.747703   -0.000292    -8.126            1 161273.428
1159      0.747108   -0.000595    -8.100            1 162106.067
1160      0.745745   -0.001363    -8.934            1 162939.325
1161      0.745621   -0.000124    -8.417            1 163451.752
1162      0.745369   -0.000253    -8.023            1 164140.347
1163      0.744736   -0.000633    -8.036            1 164969.331
1164      0.744568   -0.000168    -7.529            1 165780.543
1165      0.743828   -0.000740    -7.640            1 166792.582
1166      0.742959   -0.000869    -7.904            1 167747.483
1167      0.742375   -0.000584    -7.861            1 168573.570
1168      0.741822   -0.000553    -7.781            1 169402.882
1169      0.741698   -0.000124    -7.213            1 170252.450
1170      0.740925   -0.000774    -7.351            1 171361.290
1171      0.739956   -0.000969    -7.718            1 172390.327
1172      0.739747   -0.000209    -7.245            1 173216.265
1173      0.739086   -0.000661    -7.258            1 174270.473
1174      0.737876   -0.001209    -7.897            1 175301.118
1175      0.737512   -0.000365    -7.612            1 175956.755
1176      0.736526   -0.000986    -8.017            1 176742.323
1177      0.736515   -0.000011    -7.338            1 177262.044
1178      0.736111   -0.000404    -7.067            1 178150.938
1179      0.735164   -0.000948    -7.400            1 179182.307
1180      0.734830   -0.000333    -7.054            1 179969.925
1181      0.734604   -0.000226    -6.566            1 180953.302
1182      0.733800   -0.000804    -6.707            1 182251.135
1183      0.733391   -0.000409    -6.407            1 183422.589
1184      0.732508   -0.000882    -6.628            1 184794.863
1185      0.731977   -0.000532    -6.465            1 185966.501
1186      0.731532   -0.000445    -6.192     0.999999 187237.674
1187      0.731485   -0.000047    -5.446     0.999958 188710.763
1188      0.730421   -0.001064    -5.812     0.999993 190845.503
1189      0.729690   -0.000731    -5.824     0.999993 192625.235
1190      0.728889   -0.000801    -5.920     0.999996 194371.636
1191      0.727941   -0.000948    -6.195     0.999999 195991.976
1192      0.727862   -0.000079    -5.489     0.999965 197281.436
1193      0.727036   -0.000826    -5.590     0.999978 199309.430
1194      0.726852   -0.000184    -4.958     0.999672 201191.008
1195      0.725774   -0.001078    -5.311     0.999923 203839.836
1196      0.725380   -0.000394    -4.900     0.999591 206013.822
1197      0.724463   -0.000917    -5.065     0.999785 208734.592
1198      0.722954   -0.001510    -5.943     0.999996 211201.046
1199      0.722735   -0.000219    -5.386     0.999945 212305.249
1200      0.722181   -0.000554    -5.175     0.999863 214165.353
1201      0.722041   -0.000140    -4.458     0.998063 216299.544
1202      0.720947   -0.001094    -4.791     0.999387 219674.487
1203      0.720335   -0.000612    -4.594      0.99877 222388.311
1204      0.719733   -0.000602    -4.366     0.997406 225449.230
1205      0.719021   -0.000711    -4.244     0.996226 228970.125
1206      0.717651   -0.001370    -4.896     0.999584 232756.500
1207      0.716865   -0.000786    -4.927     0.999631 234882.024
1208      0.716347   -0.000518    -4.643     0.998962 236759.443
1209      0.715479   -0.000868    -4.744     0.999273 239215.610
1210      0.714685   -0.000794    -4.769     0.999336 241189.318
1211      0.714087   -0.000599    -4.566     0.998646 242840.428
1212      0.713926   -0.000161    -3.817     0.987762 244875.318
1213      0.713580   -0.000345    -3.183     0.950247 249411.603
1214      0.712774   -0.000806    -3.001      0.93049 256596.289
1215      0.712001   -0.000773    -2.751     0.894907 264836.758
1216      0.711370   -0.000631    -2.284     0.800277 274728.358
1217      0.710264   -0.001106    -2.315     0.807558 288121.630
1218      0.708596   -0.001668    -3.080     0.939683 302196.176
1219      0.708249   -0.000347    -2.339     0.813315 310807.526
1220      0.707471   -0.000778    -1.986     0.721616 326218.669
1221      0.706065   -0.001406    -2.378     0.822255 346687.383
1222      0.705096   -0.000969    -2.313     0.807068 363656.277
1223      0.704560   -0.000536    -1.648      0.62051 382420.399
1224      0.702728   -0.001832    -2.587     0.865903 414969.821
1225      0.701847   -0.000881    -2.512     0.851017 430068.528
1226      0.700787   -0.001060    -2.671     0.881417 446084.537
1227      0.699602   -0.001184    -3.056     0.936988 456167.122
1228      0.699298   -0.000304        NA           NA        NA
1229      0.698426   -0.000872        NA           NA        NA
1230      0.696664   -0.001763        NA           NA        NA
1231      0.696328   -0.000336        NA           NA        NA
1232      0.696164   -0.000163        NA           NA        NA
1233      0.694759   -0.001405        NA           NA        NA
1234      0.692324   -0.002435        NA           NA        NA
1235      0.689763   -0.002561        NA           NA        NA
1236      0.689019   -0.000745        NA           NA        NA
    kurtosis           snps    indivs
 eigenvector    1     3.258    13.955
 eigenvector    2    38.218    25.965
 eigenvector    3     4.318   232.764
 eigenvector    4     4.396   300.518
 eigenvector    5     3.037     3.753
 eigenvector    6     4.040     8.144
 eigenvector    7     3.061     5.062
 eigenvector    8     4.330     9.221
 eigenvector    9     3.436    76.326
 eigenvector   10     3.166     9.163
population:   0              Control  468
population:   1                 Case  769

## Average divergence between populations:
              Control       Case     popsize
   Control      1.001      1.000         468
      Case      1.000      0.999         769


number of blocks for moving block jackknife: 545

fst *1000:
          C     C 
   C      0     0
   C      0     0

s.dev * 1000000:
          C     C 
   C      0     7
   C      7     0

eigenvector 1:means
             Control     -0.000
                Case      0.000
## Anova statistics for population differences along each eigenvector:
                                              p-value
             eigenvector_1_Control_Case_       0.78441 
eigenvector 2:means
             Control     -0.002
                Case      0.001
             eigenvector_2_Control_Case_      0.027549 
eigenvector 3:means
             Control     -0.002
                Case      0.001
             eigenvector_3_Control_Case_      0.030361 
eigenvector 4:means
                Case     -0.000
             Control      0.000
             eigenvector_4_Control_Case_      0.682909 
eigenvector 5:means
             Control     -0.001
                Case      0.000
             eigenvector_5_Control_Case_      0.546191 
eigenvector 6:means
                Case     -0.000
             Control      0.000
             eigenvector_6_Control_Case_      0.866272 
eigenvector 7:means
             Control     -0.003
                Case      0.002
             eigenvector_7_Control_Case_    0.00809185 
eigenvector 8:means
                Case     -0.001
             Control      0.001
             eigenvector_8_Control_Case_      0.281012 
eigenvector 9:means
             Control     -0.002
                Case      0.001
             eigenvector_9_Control_Case_     0.0188405 
eigenvector 10:means
             Control     -0.002
                Case      0.001
            eigenvector_10_Control_Case_     0.0327464 

## Statistical significance of differences beween populations:
                                pop1                  pop2      chisq          p-value   |pop1|   |pop2|
popdifference:               Control                  Case        28.487    0.00150777     468     769

eigbestsnp    1             rs938800  2    192006684     5.392
eigbestsnp    1            rs4676989  3     75147150     5.248
eigbestsnp    1            rs7593370  2    135339987     5.143
eigbestsnp    1             rs875439  4    167667962     4.976
eigbestsnp    1            rs2213909  8     17984790     4.936
eigbestsnp    1            rs6463114  7     42472956     4.817
eigbestsnp    1            rs7541003  1     65604940     4.718
eigbestsnp    1            rs7202140 16      3864655     4.609
eigbestsnp    1            rs7813843  8    136517869     4.538
eigbestsnp    1            rs2835133 21     36055327     4.525
eigbestsnp    2           rs41412544  1    232365381    18.376
eigbestsnp    2           rs16892852  8    120682427    18.122
eigbestsnp    2           rs11842721 13     36358430    17.400
eigbestsnp    2            rs3776349  5    142410393    16.848
eigbestsnp    2            rs7817227  8     27973976    16.475
eigbestsnp    2             rs746767  1    219025582    16.140
eigbestsnp    2            rs2122339  4     27303287    15.338
eigbestsnp    2            rs4300052  9      5839986    14.393
eigbestsnp    2            rs2140641  7    109297582    13.875
eigbestsnp    2            rs4676631  3     39118127    13.415
eigbestsnp    3            rs6863508  5    159064374     6.937
eigbestsnp    3            rs9992154  4    131086293     6.316
eigbestsnp    3             rs312568  5    143327425     6.266
eigbestsnp    3            rs4846366  1    220662121     6.248
eigbestsnp    3            rs4300052  9      5839986     6.057
eigbestsnp    3            rs4793672 17     46233684     6.050
eigbestsnp    3           rs17127621 11    123100702     5.992
eigbestsnp    3            rs7817227  8     27973976     5.984
eigbestsnp    3           rs10053139  5     21735999     5.927
eigbestsnp    3             rs746767  1    219025582     5.774
eigbestsnp    4            rs9992154  4    131086293     6.985
eigbestsnp    4            rs6128983 20     58960080     6.868
eigbestsnp    4           rs17066389  4    179737086     6.443
eigbestsnp    4            rs7982110 13     58621430     6.045
eigbestsnp    4           rs17035560  2     46824391     5.601
eigbestsnp    4            rs7533564  1     78598500     5.527
eigbestsnp    4           rs11160530 14     99134427     5.340
eigbestsnp    4            rs4889171 16     79215045     5.328
eigbestsnp    4           rs12584484 13     33741895     5.118
eigbestsnp    4            rs9929386 16     19422601     5.111
eigbestsnp    5           rs17016781  3     25580890     4.450
eigbestsnp    5            rs9397908  6    156545345     4.082
eigbestsnp    5             rs916977 15     26186959     4.068
eigbestsnp    5           rs11607128 11     27761301     4.068
eigbestsnp    5            rs6890493  5     97740030     4.046
eigbestsnp    5           rs10901402 10    127215368     4.018
eigbestsnp    5             rs303793 12     50533203     4.013
eigbestsnp    5            rs4358083  2     19186554     3.991
eigbestsnp    5            rs2362852  3     55782111     3.976
eigbestsnp    5            rs7212045 17     46061023     3.870
eigbestsnp    6            rs6657340  1     90852290     9.100
eigbestsnp    6            rs1925246 10     95858110     9.090
eigbestsnp    6            rs9922883 16     70852615     8.135
eigbestsnp    6           rs17004823 22     22777303     7.642
eigbestsnp    6            rs7773693  6    156650110     7.503
eigbestsnp    6           rs17839277  5     18057864     7.445
eigbestsnp    6           rs41466547  1     40539129     7.376
eigbestsnp    6             rs689654 15     51816767     6.964
eigbestsnp    6            rs3774827  4      5505124     6.763
eigbestsnp    6            rs7202140 16      3864655     6.579
eigbestsnp    7            rs6657340  1     90852290     5.130
eigbestsnp    7            rs7773693  6    156650110     4.642
eigbestsnp    7           rs10213884  5    174527189     4.505
eigbestsnp    7           rs10110295  8     83084037     4.402
eigbestsnp    7            rs7693951  4     16190401     4.360
eigbestsnp    7             rs182461 16     85365735     4.318
eigbestsnp    7              rs16526 17     34575198     4.292
eigbestsnp    7            rs8068581 17     65309218     4.036
eigbestsnp    7           rs11041850 11      8272804     4.017
eigbestsnp    7            rs2029623  7    128294533     3.998
eigbestsnp    8            rs6657340  1     90852290     9.769
eigbestsnp    8            rs7773693  6    156650110     8.720
eigbestsnp    8            rs9922883 16     70852615     8.486
eigbestsnp    8            rs8068581 17     65309218     7.499
eigbestsnp    8            rs3774827  4      5505124     7.383
eigbestsnp    8            rs2865803  7     68907809     7.138
eigbestsnp    8           rs11010238 10     35954523     7.097
eigbestsnp    8           rs17004823 22     22777303     6.797
eigbestsnp    8           rs16894289  4     16672950     6.718
eigbestsnp    8            rs8052201 16     82937210     6.508
eigbestsnp    9           rs11219743 11    124027930     5.729
eigbestsnp    9           rs17031513 12    100446533     5.382
eigbestsnp    9            rs9909477 17     66598699     5.107
eigbestsnp    9            rs4951625  1    210841380     5.037
eigbestsnp    9             rs197899  6     95643428     5.011
eigbestsnp    9           rs17068500  6    108099428     4.928
eigbestsnp    9            rs7657948  4    151504432     4.721
eigbestsnp    9           rs10980854  9    113090178     4.621
eigbestsnp    9            rs2457068  1     47806582     4.601
eigbestsnp    9           rs12464529  2    138203933     4.506
eigbestsnp   10            rs7046585  9      8671940     5.840
eigbestsnp   10            rs4836002  5    122704060     5.129
eigbestsnp   10            rs7328592 13     76014270     5.075
eigbestsnp   10            rs8000663 13     75186419     5.020
eigbestsnp   10           rs16955598 17     50550682     4.875
eigbestsnp   10            rs4300052  9      5839986     4.616
eigbestsnp   10            rs4645974  8    128823871     4.379
eigbestsnp   10             rs197899  6     95643428     4.339
eigbestsnp   10           rs17062886  6    102735993     4.306
eigbestsnp   10           rs10808654  8     93863254     4.299
##end of smartpca run
